timeframe,feature_set,fold,feature,importance_gain,importance_split
M5,volume_assisted,fold_2,close_ema_5_ratio,9656.2729139328,37.0
M5,volume_assisted,fold_2,rolling_vol_5,200.89949798583984,14.0
M5,volume_assisted,fold_2,close_sma_10_ratio,166.42640018463135,9.0
M5,volume_assisted,fold_2,close_ema_10_ratio,2998.253858566284,28.0
M5,volume_assisted,fold_2,rolling_vol_10,231.46969890594482,14.0
M5,volume_assisted,fold_2,close_sma_20_ratio,633.8621015548706,24.0
M5,volume_assisted,fold_2,close_ema_20_ratio,237.47479820251465,7.0
M5,volume_assisted,fold_2,rolling_vol_20,96.93229866027832,6.0
M5,volume_assisted,fold_2,close_sma_50_ratio,142.35019779205322,9.0
M5,volume_assisted,fold_2,close_ema_50_ratio,71.85319995880127,4.0
M5,volume_assisted,fold_2,rolling_vol_50,166.61579990386963,12.0
M5,volume_assisted,fold_2,close_sma_100_ratio,26.78820037841797,2.0
M5,volume_assisted,fold_2,close_ema_100_ratio,56.87549877166748,4.0
M5,volume_assisted,fold_2,rolling_vol_100,121.18020248413086,8.0
M5,volume_assisted,fold_2,close_sma_200_ratio,58.6283016204834,4.0
M5,volume_assisted,fold_2,close_ema_200_ratio,343.3095054626465,21.0
M5,volume_assisted,fold_2,rolling_vol_200,189.57839965820312,13.0
M5,volume_assisted,fold_2,roc_5,97.40899848937988,5.0
M5,volume_assisted,fold_2,roc_10,160.98659992218018,10.0
M5,volume_assisted,fold_2,roc_20,176.7372007369995,12.0
M5,volume_assisted,fold_2,rsi_14,633.5706014633179,30.0
M5,volume_assisted,fold_2,true_range_pct,127.00429916381836,8.0
M5,volume_assisted,fold_2,atr_pct_14,168.83430004119873,11.0
M5,volume_assisted,fold_2,bb_width_pct_20,337.34400177001953,21.0
M5,volume_assisted,fold_2,bb_position_20,554.7867021560669,17.0
M5,volume_assisted,fold_2,volume_z20,191.52099895477295,13.0
M5,volume_assisted,fold_3,minute_of_day_sin,645.3317031860352,39.0
M5,volume_assisted,fold_3,minute_of_day_cos,745.4770040512085,44.0
M5,volume_assisted,fold_3,day_of_week_sin,38.13859939575195,3.0
M5,volume_assisted,fold_3,day_of_week_cos,0.0,0.0
M5,volume_assisted,fold_3,month_sin,39.57800006866455,3.0
M5,volume_assisted,fold_3,month_cos,166.53469848632812,12.0
M5,volume_assisted,fold_3,is_after_gap,0.0,0.0
M5,volume_assisted,fold_3,gap_minutes_from_prev_bar,46.44490051269531,3.0
M5,volume_assisted,fold_3,open_rel_prev_close,69.28989887237549,5.0
M5,volume_assisted,fold_3,high_rel_prev_close,171.18259811401367,12.0
M5,volume_assisted,fold_3,low_rel_prev_close,132.6003999710083,9.0
M5,volume_assisted,fold_3,close_rel_prev_close,468.2375011444092,26.0
M5,volume_assisted,fold_3,log_ret_1,141.55810165405273,5.0
M5,volume_assisted,fold_3,log_ret_2,499.44250106811523,26.0
M5,volume_assisted,fold_3,log_ret_3,336.3874979019165,22.0
M5,volume_assisted,fold_3,log_ret_6,178.0374994277954,10.0
M5,volume_assisted,fold_3,log_ret_12,262.3572998046875,15.0
M5,volume_assisted,fold_3,log_ret_24,155.13269901275635,9.0
M5,volume_assisted,fold_3,log_ret_48,158.28120136260986,9.0
