rows,up_rate,mean_abs_return_bps,std_return_bps,timeframe,month
1805,0.5124653739612188,6.473575248872883,9.217908476923256,M15,2025-02-01 00:00:00+00:00
1914,0.5120167189132706,5.987232254765594,8.334725683842175,M15,2025-03-01 00:00:00+00:00
1901,0.5123619147816938,11.93319814093226,17.055497514406785,M15,2025-04-01 00:00:00+00:00
1983,0.5073121533030761,9.791837476997218,13.86180864491551,M15,2025-05-01 00:00:00+00:00
1907,0.5023597273203986,7.3319412151077366,10.15349579297661,M15,2025-06-01 00:00:00+00:00
2076,0.5067437379576107,5.581125010667183,8.129245641869687,M15,2025-07-01 00:00:00+00:00
1906,0.49422875131164745,5.318826601492974,8.144962940646911,M15,2025-08-01 00:00:00+00:00
1991,0.5293822199899548,6.711514741184241,9.679080369618863,M15,2025-09-01 00:00:00+00:00
2086,0.5287631831255992,12.463866176934488,18.504934420132084,M15,2025-10-01 00:00:00+00:00
1795,0.5270194986072423,9.451767912202058,13.227366946142492,M15,2025-11-01 00:00:00+00:00
1976,0.5222672064777328,8.364875780497904,12.52187864274886,M15,2025-12-01 00:00:00+00:00
1898,0.5463645943097998,13.356478327109185,24.40539659859942,M15,2026-01-01 00:00:00+00:00
1804,0.532150776053215,16.106095368641416,26.455571316184383,M15,2026-02-01 00:00:00+00:00
2006,0.49202392821535396,17.711020468113002,28.499915086597248,M15,2026-03-01 00:00:00+00:00
